Y	X1	X2
-6857861	-1314697	-5543164
-17634918	-9784519	-7850399
-7718792	-6001519	-1717273
-14587239	-4737269	-9849970
-9775425	-7704299	-2071126
-8040105	-6988564	-1051541
-8102826	-7574735	-528091
-1858367	-1820675	-37692
-9529192	-3057833	-6471359
-9158707	-7952191	-1206516
-8554425	-4617050	-3937375
-2436990	-2173827	-263163
-18923539	-9594254	-9329285
-11394384	-1865479	-9528905
-9314213	-1650151	-7664062
-9368075	-7514709	-1853366
-10903164	-7824429	-3078735
-17270499	-8101067	-9169432
-4326840	-2176980	-2149860
-7531582	-1852385	-5679197
-16465329	-7155525	-9309804
-15007186	-6670287	-8336899
-8371980	-5736706	-2635274
-11355481	-9478031	-1877450
-14058248	-5233764	-8824484
-7502564	-535015	-6967549
-7918184	-5817027	-2101157
-7306406	-6684926	-621480
-12345849	-6300585	-6045264
-11733596	-3880084	-7853512
-11020027	-4906800	-6113227
-12064269	-8918485	-3145784
-12987400	-5360605	-7626795
-8394583	-1806585	-6587998
-11792154	-4952719	-6839435
-12239215	-3593928	-8645287
-13169089	-5270708	-7898381
-6440201	-2737633	-3702568
-8159312	-6672355	-1486957
-2721878	-500123	-2221755
-6170287	-5439863	-730424
-10981576	-9340056	-1641520
-7651635	-3022138	-4629497
-10428171	-5081685	-5346486
-7755314	-573025	-7182289
-12478186	-3185586	-9292600
-9449587	-8725161	-724426
-8939425	-2075890	-6863535
-16965980	-8318389	-8647591
-11061984	-5194839	-5867145
-6305317	-6268432	-36885
-16078937	-7200726	-8878211
-13457693	-4055328	-9402365
-8366927	-1138967	-7227960
-13416371	-4515100	-8901271
-5423256	-125754	-5297502
-12446406	-6894852	-5551554
-12407339	-6269282	-6138057
-2959195	-945467	-2013728
-15232117	-7021724	-8210393
-10144324	-6755787	-3388537
-12650209	-6626003	-6024206
-13828086	-8861539	-4966547
-6327843	-3923812	-2404031
-18026925	-9529363	-8497562
-3600056	-2088917	-1511139
-8839232	-5480454	-3358778
-9824881	-4695567	-5129314
-6895368	-2224603	-4670765
-14301527	-5590559	-8710968
-9406478	-4821000	-4585478
-10265928	-1200152	-9065776
-12153056	-9036330	-3116726
-10684015	-3952254	-6731761
-3822188	-2957874	-864314
-13852670	-8109892	-5742778
-15820798	-8582851	-7237947
-11681186	-4636112	-7045074
-16869208	-8063932	-8805276
-18416945	-9486964	-8929981
-18542176	-8931754	-9610422
-10842917	-6551538	-4291379
-12000725	-6461834	-5538891
-7642875	-238317	-7404558
-9514899	-3921470	-5593429
-11539275	-5957513	-5581762
-3261774	-1542955	-1718819
-10221686	-4307904	-5913782
-4635498	-3675443	-960055
-11386996	-2860617	-8526379
-7153802	-2927566	-4226236
-10104382	-7592675	-2511707
-17255864	-9235962	-8019902
-8101108	-563955	-7537153
-8773083	-5928575	-2844508
-14578712	-8629512	-5949200
-6438522	-2592952	-3845570
-4807866	-1740108	-3067758
-5966621	-1633808	-4332813
-12623130	-3816103	-8807027
-15589157	-5706438	-9882719
-12256705	-2488555	-9768150
-10164190	-7080816	-3083374
-14363515	-6947053	-7416462
-8901894	-3890243	-5011651
-13551097	-5940962	-7610135
-6719626	-299232	-6420394
-12121746	-7194871	-4926875
-9871970	-8056350	-1815620
-13260744	-7592069	-5668675
-11200252	-6798831	-4401421
-14425856	-6650879	-7774977
-7408367	-5345232	-2063135
-12556650	-5094150	-7462500
-9031166	-7748593	-1282573
-4210193	-985303	-3224890
-13406711	-5854539	-7552172
-8700288	-2802247	-5898041
-7371930	-764506	-6607424
-9983035	-3766875	-6216160
-10566910	-7772798	-2794112
-18179134	-8676134	-9503000
-12098927	-9344552	-2754375
-13750877	-7618273	-6132604
-6943403	-6866368	-77035
-18015403	-9747724	-8267679
-9573184	-2185589	-7387595
-7420040	-1673871	-5746169
-11298175	-8241440	-3056735
-13741017	-4612410	-9128607
-9712282	-6217959	-3494323
-11307730	-1846248	-9461482
-8343494	-5634344	-2709150
-9985299	-1259077	-8726222
-8992735	-2430669	-6562066
-9991953	-4996707	-4995246
-10888333	-7654549	-3233784
-14969420	-7939414	-7030006
